,Exercise ,Difficulty Level,Target Muscle Group ,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Combination Exercises,Mechanics
,Miniband Standing Glute Kickback,Novice,Glutes,Miniband,Standing,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Barbell Hip Thrust,Novice,Glutes,Barbell,Bridge,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Single Leg Hip Thrust,Intermediate,Glutes,Barbell,Single Leg Bridge,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Stability Ball Single Leg Glute Bridge,Intermediate,Glutes,Stability Ball,Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Miniband Standing Hip Abduction,Novice,Abductors,Miniband,Standing,No Arms,Continuous,Hand Assisted,Single Exercise,Isolation
,Miniband 3-Way Cha Cha,Beginner,Abductors,Miniband,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Barbell Standing Calf Raise,Intermediate,Calves,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Cable Hip Abduction,Novice,Abductors,Cable,Standing,No Arms,Continuous,Hand Assisted,Single Exercise,Isolation
,Miniband Wall Sit Hip Abduction,Novice,Quadriceps,Miniband,Wall Sit,No Arms,Continuous,No Grip,Single Exercise,Compound
,Barbell Overhead Adductor Slide,Intermediate,Adductors,Sliders,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Stability Ball T's Y's I's ,Beginner,Shoulders,Stability Ball,Prone,Double Arm,Continuous,No Grip,Single Exercise,Isolation
,Resistance Band Standing Reverse Fly,Beginner,Shoulders,Resistance Band,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Resistance Band Lateral Raise,Beginner,Shoulders,Resistance Band,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Dumbbell Lateral Raise,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Single Arm Resistance Band Standing Shoulder External Rotation,Beginner,Shoulders,Resistance Band,Standing,Single Arm,Continuous,Neutral,Single Exercise,Isolation
,Dumbbell Seated Lateral Raise,Beginner,Shoulders,Dumbbell,Seated,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Pike Push Up,Intermediate,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Single Arm Dumbbell Side Lying Shoulder External Rotation,Beginner,Shoulders,Dumbbell,Side Lying,Single Arm,Continuous,Neutral,Single Exercise,Isolation
,Single Arm Dumbbell Seated Shoulder External Rotation,Novice,Shoulders,Dumbbell,Seated,Single Arm,Continuous,Pronated,Single Exercise,Isolation
,Miniband Standing Shoulder External Rotation,Beginner,Shoulders,Miniband,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Dumbbell Seated Cuban Rotation,Novice,Shoulders,Dumbbell,Seated,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Dumbbell Standing Cuban Rotation,Novice,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Single Arm Cable Half Kneeling Shoulder External Rotation 90 Degrees,Novice,Shoulders,Cable,Half Kneeling,Single Arm,Continuous,Pronated,Single Exercise,Isolation
,Single Arm Dumbbell Side Lying Shoulder Internal Rotation,Beginner,Shoulders,Dumbbell,Side Lying,Single Arm,Continuous,Neutral,Single Exercise,Isolation
,Parallette Feet Elevated Pike Push Up ,Intermediate,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Thruster,Intermediate,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Parallette Wall Supported Handstand Push Up,Expert,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Sots Press,Intermediate,Shoulders,Barbell,,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Dumbbell V Sit Shoulder Press ,Intermediate,Shoulders,Dumbbell,V Sit Seated,Single Arm,Continuous,Neutral,Combo Exercise,Compound
,Dumbbell Z Press,Intermediate,Shoulders,Dumbbell,Seated Floor,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Z Press,Intermediate,Shoulders,Dumbbell,Seated Floor,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Dumbbell Arnold Press,Beginner,Shoulders,Stability Ball,Seated,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Dumbbell Half Kneeling Overhead Press,Novice,Shoulders,Dumbbell,Half Kneeling,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Cable Lateral Raise,Novice,Shoulders,Cable,Standing,Single Arm,Continuous,Pronated,Single Exercise,Isolation
,Dumbbell Thruster,Novice,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Thruster,Novice,Shoulders,Dumbbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Handstand Push Up,Master,Shoulders,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Seated Overhead Press,Beginner,Shoulders,Dumbbell,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Overhead Press,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Overhead Carry,Intermediate,Shoulders,Dumbbell,Walking,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Freestanding Handstand Push Up,Master,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Barbell Shrug,Novice,Trapezius,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Dumbbell Shrug,Beginner,Trapezius,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Cable Standing Face Pull,Novice,Shoulders,Cable,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Cable Seated Face Pull,Novice,Shoulders,Cable,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Standing Scaption,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Dumbbell Seated Scaption,Beginner,Shoulders,Dumbbell,Seated,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Stability Ball Dumbbell Seated Scaption,Beginner,Shoulders,Stability Ball,Seated,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Cable Standing Knee Strap Hip External Rotation (90 Degrees),Novice,Glutes,Cable,Standing,No Arms,Continuous,Hand Assisted,Single Exercise,Isolation
,Cable Hip External Rotation,Novice,Glutes,Cable,Standing,No Arms,Continuous,Neutral,Single Exercise,Isolation
,Dumbbell Bicep Curl,Beginner,Biceps,Dumbbell,Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Dumbbell Alternating Bicep Curl,Beginner,Biceps,Dumbbell,Standing,Double Arm,Alternating,Supinated,Single Exercise,Isolation
,Dumbbell Alternating Hammer Curl,Beginner,Biceps,Dumbbell,Standing,Double Arm,Alternating,Neutral,Single Exercise,Isolation
,Dumbbell Alternating Cross Body Hammer Curl,Beginner,Biceps,Dumbbell,Standing,Double Arm,Alternating,Neutral,Single Exercise,Isolation
,Cable Guillotine Curl,Novice,Biceps,Cable,Supine,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Cable Supine Bicep Curl,Novice,Biceps,Cable,Supine,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Single Arm Dumbbell Incline Bench Preacher Curl,Beginner,Biceps,Dumbbell,Standing,Single Arm,Continuous,Supinated,Single Exercise,Isolation
,Dumbbell Crush Grip Bicep Curl,Beginner,Biceps,Dumbbell,Standing,Double Arm,Continuous,Crush Grip,Single Exercise,Isolation
,Dumbbell Zottman Curl,Beginner,Biceps,Dumbbell,Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Dumbbell Waiter Curl,Beginner,Biceps,Dumbbell,Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,High Cable Straight Bar Bicep Curl,Novice,Biceps,Cable,Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Cable Straight Bar Drag Curl,Beginner,Biceps,Cable,Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Dumbbell Spider Curl,Novice,Biceps,Dumbbell,Prone,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,EZ Bar Spider Curl,Novice,Biceps,EZ Bar,Prone,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Parallette Side Plank,Intermediate,Abdominals,Parallette Bars,Side Plank,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Feet Elevated Push Up,Intermediate,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Side Plank Reach Through,Intermediate,Abdominals,Parallette Bars,Side Plank,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Plank Single Arm Dumbbell Row,Intermediate,Back,Parallette Bars,Prone,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Cable Preacher Curl,Novice,Biceps,Stability Ball,Prone,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Single Arm Dumbbell Standing Concentration Curl,Novice,Biceps,Dumbbell,Standing,Single Arm,Continuous,Supinated,Single Exercise,Isolation
,Reverse Barbell Curl,Novice,Forearms,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,EZ Bar Standing Bicep Curl,Novice,Biceps,EZ Bar,Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Cable Rope Hammer Curl,Beginner,Biceps,Cable,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Single Arm Cable Standing High Bicep Curl,Novice,Biceps,Cable,Standing,Single Arm,Continuous,Supinated,Single Exercise,Isolation
,Suspension Bicep Curl,Beginner,Biceps,Suspension Trainer,Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Dumbbell Standing Tricep Kickback,Beginner,Triceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,EZ Bar Seated Overhead Tricep Extension,Novice,Triceps,EZ Bar,Seated,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,EZ Bar Standing Overhead Tricep Extension,Novice,Triceps,EZ Bar,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Dumbbell Seated Overhead Tricep Extension,Beginner,Triceps,Dumbbell,Seated,Double Arm,Continuous,Flat Palm,Single Exercise,Isolation
,Dumbbell Standing Overhead Tricep Extension,Beginner,Triceps,Dumbbell,Standing,Double Arm,Continuous,Flat Palm,Single Exercise,Isolation
,Diamond Push Up,Novice,Triceps,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Dumbbell Close Grip Floor Chest Press,Beginner,Triceps,Dumbbell,Supine,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Close Grip Bench Press,Beginner,Triceps,Dumbbell,Supine,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Close Grip Incline Bench Press,Beginner,Triceps,Dumbbell,Supine,Double Arm,Continuous,Neutral,Single Exercise,Compound
,EZ Bar Lying Tricep Extension ,Novice,Triceps,EZ Bar,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Stability Ball Feet Elevated Diamond Push Up,Novice,Triceps,Stability Ball,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Bodyweight Tricep Extension,Intermediate,Triceps,Bodyweight,Prone,Double Arm,Continuous,Forearm,Single Exercise,Isolation
,Cable Rope Standing Overhead Tricep Extension,Novice,Triceps,Cable,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Cable Rope Standing Tricep Pushdown ,Beginner,Triceps,Cable,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Ring Dips,Advanced,Triceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Cable Reverse Tricep Pulldown,Novice,Triceps,Cable,Standing,Single Arm,Continuous,Pronated,Single Exercise,Isolation
,Dumbbell Suitcase Carry,Beginner,Forearms,Dumbbell,Walking,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Seated Wrist Curl,Intermediate,Forearms,Barbell,Seated,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,EZ Bar Reverse Grip Bicep Curl,Novice,Forearms,EZ Bar,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Incline Push Up,Beginner,Chest,Bodyweight,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Kneeling Push Up,Beginner,Chest,Bodyweight,Kneeling,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Suspension Chest Press,Beginner,Chest,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Chest Fly,Beginner,Chest,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Dumbbell Glute Bridge Chest Press,Novice,Chest,Dumbbell,Bridge,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Stability Ball Single Arm Dumbbell Chest Press,Novice,Chest,Dumbbell,Supine,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Stability Ball Dumbbell Chest Fly,Beginner,Chest,Stability Ball,Supine,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Burpee,Intermediate,Chest,Bodyweight,Standing,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Dumbbell Devil Press,Advanced,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Dumbbell Devil Press,Advanced,Shoulders,Dumbbell,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Hollow Body Chest Press,Intermediate,Chest,Dumbbell,Supine,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Plyometric Push Up On Weight Plates,Intermediate,Chest,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Stability Ball Dumbbell Pullover ,Beginner,Chest,Stability Ball,Supine,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Dumbbell Incline Bench Chest Fly,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Single Arm Push Up,Advanced,Chest,Bodyweight,Prone,Single Arm,Continuous,Flat Palm,Single Exercise,Compound
,Aztec Push Up,Advanced,Chest,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
